Source;Target;Type;Weight
116;173;Undirected;1
111;138;Undirected;1
195;181;Undirected;1
611;689;Undirected;1
585;515;Undirected;1
384;355;Undirected;1
147;138;Undirected;1
961;952;Undirected;1
895;877;Undirected;1
661;695;Undirected;1
8;38;Undirected;1
8;13;Undirected;1
627;641;Undirected;1
646;615;Undirected;1
588;521;Undirected;1
898;876;Undirected;1
804;872;Undirected;1
104;130;Undirected;1
232;284;Undirected;1
269;266;Undirected;1
377;395;Undirected;1
692;680;Undirected;1
319;364;Undirected;1
351;937;Undirected;1
996;923;Undirected;1
577;510;Undirected;1
509;528;Undirected;1
458;430;Undirected;1
827;700;Undirected;1
187;535;Undirected;1
941;255;Undirected;1
514;593;Undirected;1
948;963;Undirected;1
75;796;Undirected;1
702;742;Undirected;1
318;343;Undirected;1
507;512;Undirected;1
925;916;Undirected;1
753;785;Undirected;1
554;577;Undirected;1
192;117;Undirected;1
359;321;Undirected;1
824;891;Undirected;1
713;732;Undirected;1
630;646;Undirected;1
360;371;Undirected;1
866;869;Undirected;1
456;464;Undirected;1
214;239;Undirected;1
882;884;Undirected;1
129;112;Undirected;1
55;35;Undirected;1
505;599;Undirected;1
584;556;Undirected;1
736;798;Undirected;1
369;348;Undirected;1
526;495;Undirected;1
529;521;Undirected;1
720;776;Undirected;1
265;231;Undirected;1
324;384;Undirected;1
84;2;Undirected;1
751;775;Undirected;1
441;484;Undirected;1
629;644;Undirected;1
25;35;Undirected;1
511;553;Undirected;1
205;209;Undirected;1
660;696;Undirected;1
550;526;Undirected;1
709;795;Undirected;1
539;504;Undirected;1
181;156;Undirected;1
115;136;Undirected;1
148;106;Undirected;1
546;539;Undirected;1
91;92;Undirected;1
269;234;Undirected;1
641;646;Undirected;1
472;402;Undirected;1
131;147;Undirected;1
494;473;Undirected;1
906;947;Undirected;1
459;441;Undirected;1
787;709;Undirected;1
418;477;Undirected;1
867;846;Undirected;1
715;916;Undirected;1
798;913;Undirected;1
385;400;Undirected;1
384;386;Undirected;1
